1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1419950944.17632,Magnetic,57.7470703125,226.4159545898,144.4054870605,,,,,,,,,,,,,,,,
1419950944.18573,Acceleration,0.0032958984,0.0084075928,-1.0049743652,,,,,,,,,,,,,,,,
1419950944.18589,Acceleration,0.0045166016,0.0074310303,-1.0047454834,,,,,,,,,,,,,,,,
1419950944.19882,Gyro,0.0001946771,-0.027506193,0.0135003625,,,,,,,,,,,,,,,,
1419950944.19873,Gyro,0.0014492923,-0.0309896077,0.0085905587,,,,,,,,,,,,,,,,
1419950944.20247,Magnetic,57.2390289307,226.9239959717,142.5942382813,,,,,,,,,,,,,,,,
1419950944.20526,Acceleration,0.0041351318,0.0031890869,-1.0053100586,,,,,,,,,,,,,,,,
1419950944.20554,Acceleration,0.0019378662,0.0059661865,-0.9990081787,,,,,,,,,,,,,,,,
1419950944.21451,Gyro,-0.0113296199,-0.0224885312,0.0112318819,,,,,,,,,,,,,,,,
1419950944.21451,Motion,0.0121728815,-0.0036590546,-0.009485608,-0.000263168,-0.0069461507,-5.133920226788E-005,0.0121728815,-0.0036590546,-0.009485608,-0.0002631617,0.0069460948,-0.9999758601,0.0047797631,0.0004849355,-0.0047696424,-1,0,0,0
1419950944.21488,Motion,0.0109184869,-0.0001753998,-0.0045757829,0.0002544231,-0.0064478199,-8.92963246893935E-005,0.0109184869,-0.0001753998,-0.0045757829,0.0002544178,0.0064477753,-0.999979198,0.0038807141,-0.0032586884,-0.0053308783,-1,0,0,0
1419950944.22478,Acceleration,0.0010375977,0.0045776367,-1.0007019043,,,,,,,,,,,,,,,,
1419950944.22507,Acceleration,-0.0018157959,0.0046386719,-1.001159668,,,,,,,,,,,,,,,,
1419950944.2285,Magnetic,57.4083862305,227.7707366943,143.4175415039,,,,,,,,,,,,,,,,
1419950944.2303,Gyro,-0.0061356568,-0.02283128,0.0233854838,,,,,,,,,,,,,,,,
1419950944.23062,Gyro,0.0014841797,-0.0263956548,0.0159249044,,,,,,,,,,,,,,,,
1419950944.23034,Motion,-0.0006057476,0.0048425077,-0.0068442235,0.0004221264,-0.0063297414,-0.0001426587,-0.0006057476,0.0048425077,-0.0068442235,0.000422118,0.006329699,-0.9999798536,0.0015157482,-0.0003635126,0.0009716994,-1,0,0,0
1419950944.24466,Acceleration,-0.0009155273,0.0056152344,-1.0033111572,,,,,,,,,,,,,,,,
1419950944.24451,Acceleration,6.103515625E-005,0.0037384033,-1.0059814453,,,,,,,,,,,,,,,,
1419950944.24603,Gyro,0.0014623418,-0.0298529706,0.0110361396,,,,,,,,,,,,,,,,
1419950944.24586,Motion,0.0045886999,0.0044998778,0.0053094188,0.0005350863,-0.0060952622,-0.0001447669,0.0045886999,0.0044998778,0.0053094188,0.0005350764,0.0060952245,-0.9999812841,0.0005025213,-0.0015175877,-0.0007206235,-1,0,0,0
1419950944.24639,Motion,0.0122090857,0.0009345266,-0.0021511274,0.0003608489,-0.0058524259,-0.0001622323,0.0122090857,0.0009345266,-0.0021511274,0.0003608427,0.0058523924,-0.9999828339,-0.0021766387,-0.0012137205,-0.0011768584,-1,0,0,0
1419950944.25444,Magnetic,57.0696868896,226.7546539307,143.0882110596,,,,,,,,,,,,,,,,
1419950944.26212,Gyro,-0.0024240092,-0.0261027071,0.0049747849,,,,,,,,,,,,,,,,
1419950944.26273,Gyro,0.0001992044,-0.0286907671,0.0135022267,,,,,,,,,,,,,,,,
1419950944.26372,Acceleration,0.0045623779,0.0055084229,-1.001663208,,,,,,,,,,,,,,,,
1419950944.26235,Motion,0.0121882623,-0.00252368,-0.0070398385,0.0002529331,-0.0055443518,-0.0002315561,0.0121882623,-0.00252368,-0.0070398385,0.0002529292,0.0055443235,-0.999984622,-0.0011684565,0.000070911,-0.0033265592,-1,0,0,0
1419950944.26404,Acceleration,0.0045471191,0.0070953369,-0.9975585938,,,,,,,,,,,,,,,,
1419950944.27832,Gyro,0.0014671354,-0.0216578912,0.0159177138,,,,,,,,,,,,,,,,
1419950944.27815,Motion,0.0083018811,0.0012291573,-0.01310114,0.0005443598,-0.0054430895,-0.0003501066,0.0083018811,0.0012291573,-0.01310114,0.0005443518,0.0054430626,-0.9999850392,0.0040180264,6.53601819067262E-005,-0.0016781697,-1,0,0,0
1419950944.27869,Motion,0.0109238531,-0.0013561606,-0.0045736451,0.0008142065,-0.0054264023,-0.0003912296,0.0109238531,-0.0013561606,-0.0045736451,0.0008141944,0.0054263757,-0.99998492,0.0037329248,0.0016689613,0.0024263519,-1,0,0,0
1419950944.28049,Magnetic,57.0696868896,229.12550354,144.076171875,,,,,,,,,,,,,,,,
1419950944.28352,Acceleration,0.0011749268,0.0079193115,-1.0018463135,,,,,,,,,,,,,,,,
1419950944.28336,Acceleration,0.0036010742,0.0060119629,-1.0030975342,,,,,,,,,,,,,,,,
1419950944.29426,Gyro,-0.0023502397,-0.0321688554,0.0123253758,,,,,,,,,,,,,,,,
1419950944.29457,Gyro,-0.0100923153,-0.0212341823,0.0063151539,,,,,,,,,,,,,,,,
1419950944.29438,Motion,0.0121912798,0.0056788251,-0.0021581082,0.0010373898,-0.0053545027,-0.0004195755,0.0121912798,0.0056788251,-0.0021581082,0.0010373747,0.0053544771,-0.9999850988,0.0025636994,0.0006574858,-0.0031124076,-1,0,0,0
1419950944.30287,Acceleration,0.0059661865,0.0064697266,-1.0040588379,,,,,,,,,,,,,,,,
1419950944.30303,Acceleration,0.0028686523,0.0064697266,-1.0016479492,,,,,,,,,,,,,,,,
1419950944.30658,Magnetic,56.3923034668,226.4159545898,143.0882110596,,,,,,,,,,,,,,,,
1419950944.31021,Gyro,0.0002079929,-0.0287147355,0.0147259492,,,,,,,,,,,,,,,,
1419950944.30999,Motion,0.0083716214,-0.0048320601,-0.0057504089,0.0010012994,-0.0054225703,-0.0005002873,0.0083716214,-0.0048320601,-0.0057504089,0.0010012845,0.0054225437,-0.9999848008,0.0001736423,0.0024967678,-0.0018615169,-1,0,0,0
1419950944.31052,Motion,0.0006284974,0.0061072642,-0.0117605655,0.0013227277,-0.0054270863,-0.0005727419,0.0006284974,0.0061072642,-0.0117605655,0.0013227079,0.0054270597,-0.9999843836,0.0046434784,0.001042667,-0.0040744394,-1,0,0,0
1419950944.32239,Acceleration,0.0041503906,0.004486084,-0.9976043701,,,,,,,,,,,,,,,,
1419950944.32256,Acceleration,0.0003356934,0.0041351318,-1.0011901855,,,,,,,,,,,,,,,,
1419950944.32599,Gyro,-0.0023933829,-0.0226690935,0.0110872723,,,,,,,,,,,,,,,,
1419950944.32652,Gyro,-0.0074254258,-0.0215974375,0.0221806698,,,,,,,,,,,,,,,,
1419950944.32622,Motion,0.0109277908,-0.0013718179,-0.0033497438,0.0014198809,-0.005358044,-0.0006017903,0.0109277908,-0.0013718179,-0.0033497438,0.0014198601,0.0053580184,-0.999984622,0.0014487923,0.0011117082,-0.0016633115,-1,0,0,0
1419950944.33261,Magnetic,59.60987854,227.6013793945,142.2649230957,,,,,,,,,,,,,,,,
1419950944.34189,Acceleration,0.0019378662,0.005355835,-1.0045166016,,,,,,,,,,,,,,,,
1419950944.34275,Acceleration,0.0036773682,0.00340271,-1.0033721924,,,,,,,,,,,,,,,,
1419950944.34307,Gyro,0.0014929681,-0.0287645366,0.0159286328,,,,,,,,,,,,,,,,
1419950944.3428,Motion,0.0083273025,0.0046766601,-0.0069883629,0.0015681568,-0.0051992015,-0.0006890635,0.0083273025,0.0046766601,-0.0069883629,0.0015681349,0.0051991781,-0.9999852777,0.0025822558,-0.0007130941,0.0023808845,-1,0,0,0
1419950944.34336,Motion,0.0032964535,0.005746854,0.0041050659,0.0015696205,-0.0050518568,-0.0006728539,0.0032964535,0.005746854,0.0041050659,0.0015695998,0.0050518354,-0.9999859929,-0.0012339065,-0.0009167035,-0.001204178,-1,0,0,0
1419950944.35859,Gyro,0.0039502668,-0.028552549,0.002428004,,,,,,,,,,,,,,,,
1419950944.35888,Gyro,0.0001733718,-0.0215841217,0.0134913078,,,,,,,,,,,,,,,,
1419950944.35918,Magnetic,57.9164123535,227.6013793945,144.2408294678,,,,,,,,,,,,,,,,
1419950944.35871,Motion,0.0122144837,-0.0014198649,-0.002146929,0.0016162719,-0.0049893034,-0.000701453,0.0122144837,-0.0014198649,-0.002146929,0.0016162511,0.0049892827,-0.9999862313,0.0003216151,0.0003665523,-0.0045303544,-1,0,0,0
1419950944.36171,Acceleration,-0.0025787354,0.0063018799,-1.0006561279,,,,,,,,,,,,,,,,
1419950944.36184,Acceleration,0.0051116943,0.0040283203,-0.9988098145,,,,,,,,,,,,,,,,
1419950944.3741,Gyro,-0.0061881211,-0.0226874693,0.0160436814,,,,,,,,,,,,,,,,
1419950944.37387,Motion,0.0146738337,-0.0012052779,-0.0156475008,0.0016984171,-0.0047416668,-0.0008096323,0.0146738337,-0.0012052779,-0.0156475008,0.0016983972,0.0047416491,-0.9999873042,0.0019789708,-0.0013389391,-0.0033848763,-1,0,0,0
1419950944.37438,Motion,0.0108957477,0.0057621226,-0.0045841476,0.0017293043,-0.0046562204,-0.0008524278,0.0108957477,0.0057621226,-0.0045841476,0.0017292846,0.0046562036,-0.9999876618,0.0033824097,-0.0006278833,0.0011778502,-1,0,0,0
1419950944.38117,Acceleration,0.003112793,0.0071563721,-1.0001831055,,,,,,,,,,,,,,,,
1419950944.3812,Acceleration,0.0040283203,0.0076599121,-1.0033111572,,,,,,,,,,,,,,,,
1419950944.38464,Magnetic,58.0857696533,228.7868041992,143.7468566895,,,,,,,,,,,,,,,,
1419950944.38991,Gyro,-0.0011163971,-0.0133152728,0.015946476,,,,,,,,,,,,,,,,
1419950944.39036,Gyro,-0.00747789,-0.0191087135,0.0160588614,,,,,,,,,,,,,,,,
1419950944.39013,Motion,0.0045305095,0.0046607531,-0.0020317305,0.0018025789,-0.0046888306,-0.0009067782,0.0045305095,0.0046607531,-0.0020317305,0.0018025582,0.0046888134,-0.9999873638,0.0013102348,0.0024675587,-0.0001957226,-1,0,0,0
1419950944.40064,Acceleration,0.0041046143,0.0048065186,-1.003112793,,,,,,,,,,,,,,,,
1419950944.40067,Acceleration,0.0040740967,0.0055999756,-1.0069274902,,,,,,,,,,,,,,,,
1419950944.40607,Gyro,-0.0049335059,-0.0238259707,0.012354138,,,,,,,,,,,,,,,,
1419950944.40603,Motion,0.0095976032,0.0140362941,-0.0021288877,0.0019679744,-0.004708543,-0.0009485534,0.0095976032,0.0140362941,-0.0021288877,0.0019679512,0.0047085257,-0.9999870062,0.0020603691,0.0029513864,-0.0033241787,-1,0,0,0
1419950944.4064,Motion,0.0032359376,0.0082460996,-0.0020164466,0.0021691612,-0.0046840371,-0.0009110385,0.0032359376,0.0082460996,-0.0020164466,0.0021691357,0.0046840198,-0.9999866486,0.0019354785,0.0001224986,-0.0031261155,-1,0,0,0
1419950944.41069,Magnetic,57.0696868896,228.7868041992,141.7709503174,,,,,,,,,,,,,,,,
1419950944.42024,Acceleration,0.0012054443,0.0069580078,-1.0001831055,,,,,,,,,,,,,,,,
1419950944.42023,Acceleration,0.004119873,0.0052032471,-0.997833252,,,,,,,,,,,,,,,,
1419950944.42188,Gyro,-0.00741717,-0.0310010593,0.0185241496,,,,,,,,,,,,,,,,
1419950944.42216,Gyro,-0.0075737638,-0.0211899738,0.0013792511,,,,,,,,,,,,,,,,
1419950944.42188,Motion,0.0057787625,0.0035319289,-0.005721116,0.0022737428,-0.0046554684,-0.0009522366,0.0057787625,0.0035319289,-0.005721116,0.0022737163,0.0046554515,-0.999986589,0.0018003805,0.000944524,-0.006940912,-1,0,0,0
1419950944.43686,Magnetic,58.4244537354,227.7707366943,142.4295806885,,,,,,,,,,,,,,,,
1419950944.43788,Gyro,-0.0087460873,-0.0261415893,0.0136431079,,,,,,,,,,,,,,,,
1419950944.43816,Motion,0.0031334406,0.0061689876,-0.0166959502,0.00237453,-0.0047055262,-0.0010858954,0.0031334406,0.0061689876,-0.0166959502,0.0023745014,0.0047055087,-0.9999861121,-0.0011690572,0.0022524989,-0.0001969956,-1,0,0,0
1419950944.43767,Motion,0.0032941066,-0.0036400179,0.0004489491,0.002362882,-0.0046673481,-0.0009598599,0.0032941066,-0.0036400179,0.0004489491,0.0023628541,0.004667331,-0.9999862909,0.001757019,0.0005359159,0.0021530644,-1,0,0,0
1419950944.4396,Acceleration,0.0026702881,0.005279541,-1.0004577637,,,,,,,,,,,,,,,,
1419950944.43981,Acceleration,0.0008239746,0.002532959,-1.0050506592,,,,,,,,,,,,,,,,
1419950944.45378,Gyro,-0.0048943575,-0.0297959789,0.0148103715,,,,,,,,,,,,,,,,
1419950944.45425,Gyro,0.0027302727,-0.0275099214,0.0110116385,,,,,,,,,,,,,,,,
1419950944.45402,Motion,0.001960038,0.0012178576,-0.0044320542,0.0024031994,-0.0046970509,-0.0011267121,0.001960038,0.0012178576,-0.0044320542,0.0024031706,0.0046970337,-0.9999860525,0.0002671175,0.0005825074,-0.0004716824,-1,0,0,0
1419950944.45927,Acceleration,0.0008087158,0.0039367676,-1.0045471191,,,,,,,,,,,,,,,,
1419950944.4593,Acceleration,0.0005187988,0.0053405762,-1.0028381348,,,,,,,,,,,,,,,,
1419950944.46278,Magnetic,56.7309875488,227.4320373535,143.4175415039,,,,,,,,,,,,,,,,
1419950944.46995,Gyro,0.0027608991,-0.0264214875,0.0159041317,,,,,,,,,,,,,,,,
1419950944.46993,Motion,0.0058159279,-0.0024396346,-0.0032647601,0.0023311084,-0.0045436352,-0.0011557364,0.0058159279,-0.0024396346,-0.0032647601,0.0023310822,0.0045436197,-0.9999869466,-0.0015071076,-0.0020106607,-0.0050636986,-1,0,0,0
1419950944.47025,Motion,0.0134417806,-0.00015668,-0.007063468,0.0023126561,-0.0044350119,-0.0012109987,0.0134417806,-0.00015668,-0.007063468,0.0023126313,0.0044349972,-0.999987483,-0.0015039154,-0.0004982298,-0.0045596277,-1,0,0,0
1419950944.47873,Acceleration,0.004989624,0.0083007813,-0.9999237061,,,,,,,,,,,,,,,,
1419950944.47933,Acceleration,0.0036010742,0.0062408447,-1.0028381348,,,,,,,,,,,,,,,,
1419950944.4859,Gyro,0.0040424122,-0.0159070612,0.0219859927,,,,,,,,,,,,,,,,
1419950944.48621,Gyro,-0.0114076505,-0.0152380751,0.0038796931,,,,,,,,,,,,,,,,
1419950944.48593,Motion,0.0134705417,0.0009279843,-0.0021709593,0.0022668794,-0.0043265983,-0.0012671346,0.0134705417,0.0009279843,-0.0021709593,0.0022668561,0.0043265847,-0.9999880791,-0.0017480574,0.0010139913,-0.0028500638,-1,0,0,0
1419950944.48882,Magnetic,58.5937957764,227.6013793945,142.5942382813,,,,,,,,,,,,,,,,
1419950944.49824,Acceleration,0.0037536621,0.0082397461,-1.0080718994,,,,,,,,,,,,,,,,
1419950944.49809,Acceleration,0.0056762695,0.0085754395,-1.0020904541,,,,,,,,,,,,,,,,
1419950944.5019,Gyro,-0.001133974,-0.0226469893,0.0086193209,,,,,,,,,,,,,,,,
1419950944.50165,Motion,0.014739586,0.0114507983,0.0039109779,0.0024537641,-0.0043602681,-0.0012836309,0.014739586,0.0114507983,0.0039109779,0.0024537384,0.0043602544,-0.999987483,0.0011473359,0.0018805905,-0.0028506513,-1,0,0,0
1419950944.50218,Motion,-0.0007198238,0.0121267531,-0.0141952662,0.0026486407,-0.0044707233,-0.0013760676,-0.0007198238,0.0121267531,-0.0141952662,0.0026486111,0.0044707083,-0.9999864697,0.0030276584,0.0041047311,-0.0021039555,-1,0,0,0
1419950944.51489,Magnetic,57.5777282715,227.9400787354,141.9356079102,,,,,,,,,,,,,,,,
1419950944.51748,Acceleration,0.0054473877,0.0083312988,-1.0023345947,,,,,,,,,,,,,,,,
1419950944.51822,Acceleration,0.0022125244,0.0047912598,-1.0007019043,,,,,,,,,,,,,,,,
1419950944.51847,Gyro,-0.0138609545,-0.0189798165,0.016162192,,,,,,,,,,,,,,,,
1419950944.51881,Gyro,-0.001103614,-0.0239034687,0.0122920863,,,,,,,,,,,,,,,,
1419950944.51873,Motion,0.0095452731,0.0047201682,-0.0094556082,0.0027350243,-0.0044840753,-0.0014832857,0.0095452731,0.0047201682,-0.0094556082,0.0027349934,0.0044840602,-0.9999862313,0.0010186688,0.0037556859,-0.0080856932,-1,0,0,0
1419950944.53386,Gyro,0.001484446,-0.0240507415,0.0171451648,,,,,,,,,,,,,,,,
1419950944.53368,Motion,-0.0031907938,0.008393527,-0.0019126849,0.0029047867,-0.0045863716,-0.0015039997,-0.0031907938,0.008393527,-0.0019126849,0.002904752,0.0045863553,-0.9999852777,0.0025426357,0.0037449433,-0.002349331,-1,0,0,0
1419950944.53418,Motion,0.009565928,0.0034680897,-0.0057827644,0.0029218249,-0.0044983939,-0.0015723467,0.009565928,0.0034680897,-0.0057827644,0.002921791,0.0044983788,-0.9999856353,-0.0007092668,0.000292881,-0.0007162906,-1,0,0,0
1419950944.53713,Acceleration,0.0021820068,0.0062255859,-1.0004272461,,,,,,,,,,,,,,,,
1419950944.53738,Acceleration,0.0010070801,0.0048522949,-1.0033416748,,,,,,,,,,,,,,,,
1419950944.54098,Magnetic,56.7309875488,226.4159545898,142.758895874,,,,,,,,,,,,,,,,
1419950944.54979,Gyro,-0.0023414512,-0.0275027309,0.0159888202,,,,,,,,,,,,,,,,
1419950944.5501,Gyro,-0.01010137,-0.0259000405,0.0026517095,,,,,,,,,,,,,,,,
1419950944.54982,Motion,0.0121495398,0.0033189026,-0.0009296702,0.0029246026,-0.0044315016,-0.0016019811,0.0121495398,0.0033189026,-0.0009296702,0.0029245696,0.0044314871,-0.9999859333,-0.0007425629,0.0017940989,-0.0004413418,-1,0,0,0
1419950944.5569,Acceleration,0.0040740967,0.0057983398,-1.0054931641,,,,,,,,,,,,,,,,
1419950944.55692,Acceleration,0.0038757324,0.0043792725,-1.0045471191,,,,,,,,,,,,,,,,
1419950944.56596,Gyro,-0.0087679253,-0.029598905,0.0087543431,,,,,,,,,,,,,,,,
1419950944.56556,Motion,0.0083226208,-0.0001379027,-0.0020860266,0.0028843138,-0.0043472365,-0.0016443678,0.0083226208,-0.0001379027,-0.0020860266,0.0028842825,0.0043472229,-0.9999864101,-0.0018772024,0.0005050722,-0.0033552835,-1,0,0,0
1419950944.5673,Magnetic,57.7470703125,227.4320373535,143.0882110596,,,,,,,,,,,,,,,,
1419950944.56677,Motion,0.0005590465,0.0014677214,-0.0154230902,0.0029101048,-0.0043650994,-0.0017565931,0.0005590465,0.0014677214,-0.0154230902,0.0029100729,0.0043650856,-0.9999862313,0.0011640236,0.0014332542,-0.0055069253,-1,0,0,0
1419950944.57618,Acceleration,-0.001159668,0.0074005127,-0.9965667725,,,,,,,,,,,,,,,,
1419950944.57665,Acceleration,4.57763671875E-005,0.0061950684,-0.9968414307,,,,,,,,,,,,,,,,
1419950944.58149,Gyro,-0.0010820424,-0.02982554,0.0123011411,,,,,,,,,,,,,,,,
1419950944.58196,Gyro,0.0002122539,-0.0298990432,0.0147278135,,,,,,,,,,,,,,,,
1419950944.58169,Motion,0.001892485,-0.0022287099,-0.0093204034,0.0028853401,-0.0043248033,-0.0018756832,0.001892485,-0.0022287099,-0.0093204034,0.002885309,0.0043247901,-0.9999864697,0.0009904233,5.44826034456492E-005,-0.0045606336,-1,0,0,0
1419950944.59241,Magnetic,58.0857696533,228.7868041992,142.758895874,,,,,,,,,,,,,,,,
1419950944.59592,Acceleration,0.0026550293,0.005569458,-1.0033416748,,,,,,,,,,,,,,,,
1419950944.59594,Acceleration,0.0033569336,0.0063018799,-1.0061798096,,,,,,,,,,,,,,,,
1419950944.59757,Gyro,-0.002345446,-0.0286633365,0.0147672282,,,,,,,,,,,,,,,,
1419950944.59756,Motion,0.0095699774,-0.0024663105,-0.0057736509,0.0027738211,-0.0042899061,-0.0019837882,0.0095699774,-0.0024663105,-0.0057736509,0.002773792,0.004289893,-0.9999869466,-0.00393346,0.0031106197,0.003420179,-1,0,0,0
