"","mean_acc","sd_acc","max_acc","min_acc","median_acc","mean_gyro","sd_gyro","max_gyro","min_gyro","median_gyro"
"204",5915.32981259833,968.724811405074,7184.0521295436,4558.67151701019,6122.34293387752,6131.86863943122,1576.56873809865,8310.73432375263,4625.68276041494,5808.41536049205
"205",5750.30260451941,1130.21787526635,6903.88535536331,4546.7396010768,6124.60806909307,5838.68453922266,1604.05589500578,7868.65808127409,4577.65889948126,4788.93537229309
"206",6101.09612930733,1028.85131393651,7126.44918595509,4612.57010786828,6182.14420731189,5777.68592219924,1446.2676897884,7622.62684381178,4639.24013174572,4789.36634639698
"207",6026.04567956773,1059.89024653679,7019.02699809596,4364.77467917875,6052.25065574783,5705.51366257516,1523.43626637617,7629.84410063535,4597.39208682488,4606.24890773393
"208",5994.73648754067,773.39353254709,7183.4144388306,5163.27676964929,6042.9093158842,5792.39819660486,1510.76095559852,7779.47074035246,4129.8840177419,5338.63971438418
"209",5944.37059982049,1193.20229424323,7560.60883791775,4229.07141107832,6128.29397140836,5843.63120054511,1497.99607476777,8140.59819669292,4513.30588371761,5440.49970131421
"210",5833.13939355698,1191.99392580965,7675.74921424612,4358.24758360514,5682.80423734621,6227.81945642061,1739.0547785467,8560.91122486386,4407.20206026454,6219.75626532101
"211",6057.74349426327,863.797978197861,7491.68192063705,5376.02799471878,5822.52685695824,6266.05455695964,1577.6966950294,8278.26618320527,4666.29081819811,6301.72650945755
"212",6121.74256806218,1070.26207676875,7731.97917741635,5277.34109187572,5607.14811646705,5651.01144534269,1557.37826354336,7633.21544304889,4197.2082388178,4733.32018777517
"213",6275.51769134522,759.905179622045,7603.7741286811,5733.02921674048,5963.6535781348,5756.88472383128,1467.11130990379,7720.39137608969,4428.96974476006,5024.89731238361
"214",5920.50013748502,392.116567553287,6527.0938402937,5575.42984889954,5891.13579880824,5940.34307222968,1550.51087718406,7627.29945655735,4536.79148738401,5396.35478818804
"215",5730.1486196374,883.813467924378,7013.84815917767,4553.66028596776,5653.41693137876,5820.85365733229,1364.65304500026,7082.41526599507,4366.52722423667,5917.2360695487
"216",6046.94589431012,686.414189179933,7088.81407571111,5476.50764630161,5712.19519974589,5936.0579518519,1302.02908581942,7278.19929652933,3980.65773459613,5884.51357377991
"217",5977.02996119913,640.854939639196,6948.31101779418,5513.38970144502,5568.33565798615,5992.59146806777,1294.69286745999,7006.32721188498,3726.33881980692,6448.59201686694
"218",6068.58440850721,354.044271284045,6512.24892030395,5592.49085828488,5973.76238228472,5973.08777371508,865.288858918949,6863.95957155926,4758.32386455567,6327.92896609941
"219",5925.66746645897,438.376089889875,6431.17811913183,5427.42084235229,6101.98344802737,5595.39985318668,991.800813519605,6819.84772557276,4571.27783010396,5540.51992145142
"220",5199.57207446359,935.210165189055,5925.55313873734,3569.40905473161,5570.30205644182,6149.34958030839,679.534159517597,7024.30850689233,5325.17896412881,6287.84899627846
"221",6225.12195424183,731.5362728672,6995.01386703415,5283.14925021052,6032.10353027864,6739.3607850299,662.996237924023,7588.0983124891,5840.91619525567,6860.15225778554
"222",5688.38147556041,602.888244724075,6224.34141094461,4667.14409462575,5821.68137224977,6246.6391834406,761.575432823757,7185.19401269026,5585.73065945719,5794.44949930535
"223",5779.67505846272,512.049580831771,6314.06754794404,5013.89628931433,5876.56030344282,5861.99236963139,1305.8861255788,7046.11808019139,3747.08339912524,6473.70264995234
"224",5758.59266856028,679.93664925836,6593.10162215023,4884.48943084126,5847.75999849515,6467.13389992429,1433.98043939328,7955.70474565264,4315.20497775019,6770.15169697105
"225",5669.763851173,811.924158967347,6654.99654395102,4499.22893393968,5923.9015015444,6139.91077356283,1214.76411943175,7370.33588108439,4769.49703847271,6755.83310924715
"226",5409.90750881264,890.835104054459,6512.01612405866,4271.83016984524,5620.81257470839,6242.96331925682,1426.36767455567,8226.09324041492,4823.36863612973,6328.07435164916
"227",6033.92475763539,1018.51805285588,7234.1346407155,5216.22631794289,5370.99627629735,5755.09164653946,1422.11143196117,7879.20681287146,4546.95348557691,5096.91593024645
"228",6226.4773059927,686.346812804844,7405.85950447347,5670.43860737421,5923.57847926403,5877.96211729018,1193.91799744659,7341.67916760192,4616.4018455936,5337.73603693551
"229",5144.34080280743,492.95652010417,5433.90927417821,4278.71312429333,5401.67094517983,6289.52640167757,948.087444938983,7196.31516819546,4760.36490197968,6395.18092003659
"230",6072.74074509137,1341.98381273171,7580.95963582448,4026.7740189884,6177.55113293285,6403.06037110203,718.043073240352,7529.28223670756,5745.9476154939,6232.91280221374
"231",5886.79339193637,1171.51064904161,7645.76000146486,4378.17073673469,5767.76525181114,6291.37339095135,449.10816162591,6784.68319083507,5801.5863347881,6289.61201909112
"232",5959.26086963598,960.166579053715,7609.68527601503,5167.34903020882,5653.85717895314,6122.71071980788,732.546620998978,6800.63217649654,4922.2485715372,6142.48825802704
"233",5801.41610470961,1200.73466053913,7651.41928010745,4341.05482573072,5690.69240075406,6104.52771310493,1267.73853767937,7135.66352906301,4131.67000134328,6731.63100593014
"234",5851.24423926926,1229.7736846765,7547.47805561566,4131.98850434025,5782.28717723359,5871.85834963823,1179.65372132242,6803.26818521804,4414.58106732677,6640.12115853318
"235",6216.35186247732,844.832322028128,7588.95124506674,5435.23992110744,6113.95534821772,6250.57203978556,1465.32179718779,8440.44436034028,4614.44655403007,6321.10346379491
"236",6087.74980695882,754.550766907754,7302.44144105244,5537.6958204654,5669.23892599351,6220.98542873798,1657.06732491084,8448.12979303704,4386.58660007984,6630.57946185701
