"","educ","conpress"
"10108",11,3
"10109",13,2
"10110",12,1
"10111",12,2
"10112",19,3
"10113",19,2
"10114",12,3
"10115",16,3
"10116",13,2
"10117",12,2
"10118",20,1
"10119",12,2
"10120",12,3
"10121",14,1
"10122",13,2
"10123",12,2
"10124",15,2
"10125",20,2
"10126",12,2
"10127",12,2
"10128",12,2
"10129",13,3
"10130",12,1
"10131",14,2
"10132",16,2
"10133",12,2
"10134",17,2
"10135",19,2
"10136",14,2
"10137",14,3
"10138",12,1
"10139",5,NA
"10140",12,3
"10141",NA,1
"10142",14,2
"10143",16,3
"10144",10,1
"10145",4,2
"10146",13,3
"10147",13,2
"10148",14,3
"10149",15,3
"10150",16,2
"10151",0,NA
"10152",8,2
"10153",9,2
"10154",16,3
"10155",12,2
"10156",14,2
"10157",7,3
"10158",6,1
"10159",13,2
"10160",17,2
"10161",12,3
"10162",12,1
"10163",12,1
"10164",15,2
"10165",11,1
"10166",13,1
"10167",12,2
"10168",12,NA
"10169",9,1
"10170",12,2
"10171",12,1
"10172",8,1
"10173",12,2
"10174",12,1
"10175",14,2
"10176",6,1
"10177",12,2
"10178",12,3
"10179",12,2
"10180",12,NA
"10181",12,1
"10182",8,3
"10183",16,1
"10184",7,NA
"10185",4,2
"10186",11,1
"10187",10,1
"10188",14,2
"10189",14,1
"10190",13,2
"10191",16,2
"10192",10,2
"10193",11,1
"10194",12,2
"10195",16,2
"10196",12,2
"10197",16,1
"10198",12,2
"10199",9,3
"10200",14,2
"10201",14,2
"10202",18,3
"10203",14,2
"10204",10,NA
"10205",12,2
"10206",16,1
"10207",12,2
"10208",13,NA
"10209",10,2
"10210",7,1
"10211",13,2
"10212",16,1
"10213",8,2
"10214",8,2
"10215",8,2
"10216",8,2
"10217",11,3
"10218",8,3
"10219",13,2
"10220",10,2
"10221",11,2
"10222",9,1
"10223",12,1
"10224",12,3
"10225",12,2
"10226",5,3
"10227",15,2
"10228",15,2
"10229",9,2
"10230",12,2
"10231",13,2
"10232",19,3
"10233",NA,3
"10234",8,2
"10235",12,2
"10236",10,1
"10237",12,2
"10238",12,2
"10239",4,NA
"10240",10,3
"10241",13,2
"10242",13,1
"10243",11,1
"10244",16,2
"10245",12,3
"10246",14,3
"10247",20,2
"10248",11,2
"10249",14,3
"10250",12,1
"10251",13,2
"10252",13,3
"10253",10,2
"10254",6,2
"10255",8,2
"10256",18,2
"10257",12,2
"10258",16,2
"10259",15,3
"10260",12,1
"10261",12,2
"10262",12,2
"10263",8,3
"10264",12,1
"10265",17,NA
"10266",19,2
"10267",18,2
"10268",8,2
"10269",12,2
"10270",12,1
"10271",10,2
"10272",10,3
"10273",8,3
"10274",18,2
"10275",16,2
"10276",8,1
"10277",12,2
"10278",10,2
"10279",9,2
"10280",1,2
"10281",12,2
"10282",11,1
"10283",17,2
"10284",11,1
"10285",7,1
"10286",12,2
"10287",5,2
"10288",10,3
"10289",12,1
"10290",7,3
"10291",13,2
"10292",10,1
"10293",12,1
"10294",17,1
"10295",14,3
"10296",16,2
"10297",11,1
"10298",14,2
"10299",15,3
"10300",14,2
"10301",16,3
"10302",16,2
"10303",NA,2
"10304",12,2
"10305",12,2
"10306",12,NA
"10307",12,2
"10308",10,3
"10309",9,2
"10310",12,2
"10311",17,2
"10312",10,3
"10313",11,2
"10314",9,3
"10315",16,3
"10316",12,2
"10317",18,2
"10318",13,2
"10319",12,2
"10320",12,1
"10321",14,3
"10322",8,3
"10323",8,3
"10324",12,2
"10325",14,2
"10326",16,1
"10327",16,2
"10328",12,2
"10329",16,1
"10330",14,2
"10331",18,1
"10332",20,2
"10333",19,2
"10334",12,2
"10335",16,2
"10336",12,2
"10337",13,2
"10338",13,2
"10339",14,2
"10340",12,2
"10341",12,2
"10342",13,2
"10343",12,2
"10344",15,2
"10345",16,2
"10346",18,2
"10347",18,1
"10348",14,2
"10349",12,2
"10350",15,2
"10351",14,2
"10352",15,2
"10353",18,3
"10354",12,2
"10355",13,3
"10356",12,2
"10357",16,2
"10358",19,2
"10359",12,3
"10360",10,1
"10361",14,2
"10362",11,2
"10363",10,2
"10364",12,2
"10365",12,1
"10366",12,2
"10367",14,2
"10368",13,2
"10369",12,2
"10370",11,1
"10371",8,2
"10372",16,3
"10373",12,3
"10374",12,2
"10375",10,3
"10376",13,1
"10377",12,2
"10378",10,2
"10379",19,1
"10380",13,2
"10381",11,2
"10382",11,2
"10383",9,2
"10384",10,2
"10385",16,2
"10386",16,3
"10387",12,1
"10388",14,2
"10389",13,3
"10390",12,2
"10391",12,1
"10392",14,3
"10393",14,1
"10394",12,2
"10395",11,1
"10396",8,2
"10397",15,3
"10398",16,2
"10399",12,2
"10400",12,2
"10401",12,2
"10402",8,2
"10403",13,3
"10404",12,1
"10405",8,2
"10406",12,1
"10407",14,2
"10408",10,2
"10409",12,2
"10410",12,2
"10411",14,2
"10412",12,2
"10413",17,2
"10414",16,2
"10415",15,2
"10416",20,2
"10417",16,1
"10418",10,2
"10419",12,2
"10420",8,2
"10421",9,3
"10422",15,1
"10423",12,1
"10424",12,2
"10425",12,2
"10426",12,1
"10427",9,2
"10428",8,2
"10429",11,3
"10430",12,1
"10431",10,1
"10432",11,2
"10433",11,2
"10434",9,3
"10435",10,2
"10436",16,2
"10437",10,2
"10438",8,2
"10439",8,2
"10440",12,1
"10441",12,3
"10442",12,3
"10443",12,2
"10444",12,2
"10445",12,3
"10446",10,1
"10447",12,2
"10448",12,3
"10449",8,1
"10450",12,1
"10451",7,2
"10452",12,3
"10453",14,3
"10454",12,2
"10455",15,2
"10456",12,2
"10457",13,3
"10458",11,1
"10459",12,2
"10460",12,2
"10461",12,3
"10462",12,2
"10463",10,2
"10464",12,3
"10465",14,2
"10466",12,2
"10467",14,3
"10468",14,1
"10469",13,3
"10470",17,2
"10471",12,1
"10472",12,2
"10473",12,2
"10474",12,3
"10475",16,2
"10476",14,1
"10477",15,3
"10478",15,2
"10479",7,1
"10480",10,3
"10481",11,2
"10482",9,3
"10483",9,2
"10484",11,2
"10485",11,2
"10486",12,2
"10487",13,2
"10488",13,1
"10489",8,2
"10490",14,2
"10491",13,3
"10492",12,2
"10493",6,2
"10494",12,3
"10495",5,2
"10496",14,3
"10497",16,1
"10498",20,1
"10499",15,2
"10500",13,2
"10501",12,2
"10502",13,2
"10503",16,2
"10504",18,2
"10505",12,2
"10506",16,2
"10507",12,2
"10508",12,2
"10509",12,3
"10510",12,1
"10511",0,2
"10512",12,1
"10513",12,1
"10514",12,3
"10515",7,3
"10516",11,2
"10517",12,2
"10518",11,2
"10519",12,3
"10520",12,3
"10521",12,1
"10522",12,2
"10523",12,2
"10524",12,2
"10525",16,3
"10526",11,2
"10527",9,1
"10528",12,1
"10529",12,3
"10530",15,1
"10531",12,3
"10532",12,1
"10533",13,2
"10534",16,3
"10535",12,2
"10536",12,1
"10537",15,2
"10538",18,2
"10539",12,3
"10540",12,2
"10541",12,2
"10542",12,2
"10543",12,1
"10544",8,2
"10545",12,2
"10546",8,2
"10547",12,3
"10548",12,2
"10549",16,2
"10550",12,2
"10551",12,1
"10552",12,1
"10553",12,1
"10554",12,2
"10555",14,3
"10556",14,2
"10557",9,2
"10558",16,3
"10559",7,NA
"10560",12,3
"10561",13,3
"10562",12,3
"10563",10,2
"10564",8,2
"10565",12,2
"10566",14,1
"10567",17,2
"10568",14,2
"10569",11,1
"10570",8,3
"10571",12,2
"10572",14,3
"10573",16,1
"10574",8,2
"10575",8,1
"10576",12,2
"10577",12,1
"10578",14,2
"10579",16,2
"10580",11,2
"10581",12,3
"10582",18,2
"10583",12,3
"10584",12,2
"10585",13,2
"10586",11,3
"10587",12,3
"10588",9,2
"10589",12,2
"10590",12,2
"10591",8,2
"10592",11,3
"10593",14,2
"10594",8,3
"10595",12,2
"10596",8,2
"10597",10,1
"10598",8,1
"10599",12,1
"10600",8,2
"10601",12,2
"10602",8,2
"10603",8,1
"10604",7,NA
"10605",6,2
"10606",4,NA
"10607",9,2
"10608",10,1
"10609",13,1
"10610",9,2
"10611",12,3
"10612",14,2
"10613",8,1
"10614",13,2
"10615",17,2
"10616",8,2
"10617",18,2
"10618",7,2
"10619",14,2
"10620",14,2
"10621",12,2
"10622",10,2
"10623",4,NA
"10624",10,3
"10625",12,2
"10626",12,2
"10627",10,1
"10628",10,2
"10629",12,1
"10630",0,NA
"10631",14,3
"10632",9,1
"10633",7,NA
"10634",13,3
"10635",10,2
"10636",15,3
"10637",8,3
"10638",12,2
"10639",14,3
"10640",7,2
"10641",12,2
"10642",10,2
"10643",0,2
"10644",10,1
"10645",11,2
"10646",12,3
"10647",8,2
"10648",10,3
"10649",7,3
"10650",10,2
"10651",10,2
"10652",12,3
"10653",9,1
"10654",10,1
"10655",4,NA
"10656",14,3
"10657",12,2
"10658",12,1
"10659",12,2
"10660",16,3
"10661",17,2
"10662",10,1
"10663",12,2
"10664",12,2
"10665",11,1
"10666",8,2
"10667",14,3
"10668",12,2
"10669",12,3
"10670",13,2
"10671",9,2
"10672",16,2
"10673",15,2
"10674",6,1
"10675",8,3
"10676",9,1
"10677",12,2
"10678",11,1
"10679",7,1
"10680",11,3
"10681",8,3
"10682",12,3
"10683",6,3
"10684",6,3
"10685",12,2
"10686",7,1
"10687",5,2
"10688",9,3
"10689",9,1
"10690",20,2
"10691",12,2
"10692",12,2
"10693",12,2
"10694",12,3
"10695",11,2
"10696",11,2
"10697",19,1
"10698",16,2
"10699",15,2
"10700",6,2
"10701",8,NA
"10702",8,3
"10703",12,3
"10704",9,3
"10705",16,1
"10706",12,3
"10707",10,3
"10708",10,2
"10709",12,3
"10710",14,2
"10711",12,1
"10712",12,3
"10713",12,1
"10714",12,1
"10715",10,2
"10716",13,1
"10717",12,3
"10718",12,2
"10719",11,3
"10720",11,3
"10721",10,3
"10722",12,2
"10723",8,2
"10724",4,2
"10725",6,2
"10726",12,2
"10727",8,NA
"10728",10,2
"10729",12,1
"10730",12,1
"10731",17,2
"10732",10,2
"10733",8,2
"10734",12,2
"10735",14,2
"10736",13,1
"10737",18,2
"10738",17,2
"10739",12,2
"10740",16,3
"10741",13,3
"10742",10,2
"10743",11,2
"10744",12,1
"10745",12,2
"10746",9,2
"10747",18,2
"10748",16,2
"10749",12,1
"10750",12,2
"10751",12,3
"10752",12,1
"10753",15,2
"10754",12,2
"10755",12,1
"10756",18,2
"10757",12,2
"10758",12,2
"10759",12,2
"10760",12,2
"10761",12,2
"10762",10,2
"10763",16,2
"10764",12,2
"10765",12,2
"10766",15,1
"10767",12,2
"10768",12,2
"10769",12,2
"10770",18,2
"10771",11,1
"10772",14,1
"10773",19,1
"10774",15,3
"10775",12,2
"10776",9,2
"10777",12,3
"10778",12,2
"10779",20,2
"10780",12,2
"10781",13,2
"10782",14,2
"10783",18,1
"10784",12,2
"10785",12,1
"10786",12,2
"10787",14,1
"10788",18,2
"10789",13,3
"10790",11,2
"10791",10,2
"10792",12,1
"10793",16,3
"10794",12,1
"10795",14,1
"10796",13,3
"10797",8,1
"10798",12,2
"10799",7,2
"10800",5,1
"10801",12,2
"10802",12,2
"10803",9,1
"10804",12,2
"10805",16,2
"10806",12,3
"10807",12,2
"10808",20,2
"10809",13,1
"10810",12,2
"10811",12,2
"10812",13,3
"10813",12,2
"10814",13,2
"10815",10,2
"10816",16,3
"10817",12,2
"10818",9,2
"10819",12,3
"10820",16,2
"10821",13,2
"10822",10,3
"10823",11,3
"10824",2,2
"10825",9,2
"10826",8,3
"10827",14,2
"10828",16,2
"10829",12,2
"10830",8,1
"10831",13,3
"10832",12,2
"10833",8,1
"10834",9,NA
"10835",12,2
"10836",14,2
"10837",11,2
"10838",7,1
"10839",14,2
"10840",9,2
"10841",12,2
"10842",12,1
"10843",4,3
"10844",8,3
"10845",16,2
"10846",16,2
"10847",16,2
"10848",12,2
"10849",12,2
"10850",12,1
"10851",17,2
"10852",16,2
"10853",12,2
"10854",12,2
"10855",11,2
"10856",12,2
"10857",14,1
"10858",13,2
"10859",10,NA
"10860",15,2
"10861",5,2
"10862",12,2
"10863",12,1
"10864",12,2
"10865",19,2
"10866",12,2
"10867",15,2
"10868",15,3
"10869",10,1
"10870",12,3
"10871",12,2
"10872",12,1
"10873",14,1
"10874",13,2
"10875",16,3
"10876",10,3
"10877",15,2
"10878",8,1
"10879",12,1
"10880",14,3
"10881",12,2
"10882",16,1
"10883",16,2
"10884",9,2
"10885",6,1
"10886",12,2
"10887",13,2
"10888",12,3
"10889",13,2
"10890",14,2
"10891",14,2
"10892",12,2
"10893",8,2
"10894",12,2
"10895",8,1
"10896",12,2
"10897",12,2
"10898",16,3
"10899",12,3
"10900",12,2
"10901",14,2
"10902",8,NA
"10903",12,2
"10904",12,3
"10905",12,3
"10906",12,3
"10907",12,3
"10908",13,1
"10909",12,1
"10910",15,2
"10911",12,2
"10912",13,2
"10913",10,2
"10914",12,2
"10915",12,2
"10916",11,1
"10917",1,1
"10918",12,1
"10919",12,1
"10920",12,2
"10921",10,2
"10922",13,2
"10923",6,3
"10924",14,2
"10925",16,2
"10926",16,3
"10927",15,1
"10928",12,2
"10929",10,1
"10930",14,2
"10931",18,1
"10932",16,1
"10933",12,3
"10934",12,1
"10935",20,1
"10936",12,2
"10937",12,NA
"10938",12,2
"10939",18,2
"10940",12,2
"10941",12,2
"10942",12,2
"10943",13,3
"10944",12,2
"10945",12,3
"10946",5,2
"10947",11,3
"10948",10,1
"10949",8,2
"10950",12,1
"10951",7,3
"10952",10,2
"10953",12,2
"10954",12,2
"10955",9,2
"10956",16,3
"10957",12,1
"10958",10,3
"10959",12,2
"10960",12,3
"10961",12,1
"10962",12,1
"10963",9,2
"10964",10,2
"10965",16,2
"10966",12,3
"10967",12,2
"10968",12,2
"10969",12,1
"10970",16,3
"10971",10,2
"10972",8,1
"10973",10,2
"10974",12,2
"10975",12,2
"10976",3,2
"10977",12,2
"10978",7,2
"10979",9,2
"10980",12,2
"10981",9,2
"10982",4,2
"10983",8,2
"10984",8,2
"10985",11,2
"10986",8,1
"10987",7,1
"10988",7,2
"10989",11,2
"10990",11,1
"10991",16,2
"10992",12,2
"10993",19,2
"10994",9,1
"10995",8,1
"10996",9,NA
"10997",13,3
"10998",16,2
"10999",12,2
"11000",17,2
"11001",17,1
"11002",16,3
"11003",16,2
"11004",11,3
"11005",4,1
"11006",14,1
"11007",12,2
"11008",8,2
"11009",12,1
"11010",12,2
"11011",7,2
"11012",12,2
"11013",8,3
"11014",16,1
"11015",14,2
"11016",6,3
"11017",11,2
"11018",14,2
"11019",12,1
"11020",12,3
"11021",12,1
"11022",8,2
"11023",12,2
"11024",9,2
"11025",14,2
"11026",16,2
"11027",10,2
"11028",14,1
"11029",12,1
"11030",12,3
"11031",12,2
"11032",11,1
"11033",12,1
"11034",14,2
"11035",13,2
"11036",11,3
"11037",9,1
"11038",12,2
"11039",8,1
"11040",12,1
"11041",9,2
"11042",12,NA
"11043",12,3
"11044",10,2
"11045",10,2
"11046",11,1
"11047",10,3
"11048",16,2
"11049",12,2
"11050",20,2
"11051",17,2
"11052",14,2
"11053",13,2
"11054",14,2
"11055",16,2
"11056",10,2
"11057",13,1
"11058",12,3
"11059",10,2
"11060",10,2
"11061",13,2
"11062",9,2
"11063",12,2
"11064",11,2
"11065",16,1
"11066",12,2
"11067",10,1
"11068",18,1
"11069",12,3
"11070",12,2
"11071",12,3
"11072",12,1
"11073",16,1
"11074",15,2
"11075",20,3
"11076",14,3
"11077",8,2
"11078",17,2
"11079",18,1
"11080",18,2
"11081",13,2
"11082",14,3
"11083",14,2
"11084",16,2
"11085",17,2
"11086",19,1
"11087",12,1
"11088",12,1
"11089",17,2
"11090",15,2
"11091",18,2
"11092",14,2
"11093",12,2
"11094",13,2
"11095",13,2
"11096",12,3
"11097",7,1
"11098",11,3
"11099",12,1
"11100",14,2
"11101",15,2
"11102",15,2
"11103",13,3
"11104",18,1
"11105",16,2
"11106",16,2
"11107",16,NA
"11108",8,3
"11109",5,3
"11110",11,2
"11111",12,2
"11112",11,3
"11113",14,3
"11114",14,1
"11115",12,2
"11116",11,1
"11117",13,1
"11118",12,2
"11119",12,1
"11120",11,2
"11121",14,3
"11122",12,2
"11123",12,3
"11124",8,2
"11125",12,1
"11126",9,2
"11127",11,2
"11128",10,1
"11129",18,2
"11130",12,3
"11131",18,2
"11132",9,2
"11133",12,3
"11134",20,2
"11135",12,3
"11136",10,2
"11137",12,1
"11138",14,1
"11139",10,2
"11140",5,1
"11141",14,1
"11142",12,3
"11143",12,1
"11144",8,2
"11145",10,2
"11146",9,2
"11147",12,2
"11148",12,1
"11149",12,2
"11150",6,2
"11151",8,3
"11152",11,3
"11153",9,3
"11154",12,2
"11155",12,2
"11156",13,2
"11157",15,NA
"11158",9,2
"11159",8,2
"11160",16,1
"11161",11,3
"11162",7,2
"11163",12,1
"11164",12,2
"11165",8,2
"11166",13,2
"11167",9,2
"11168",12,1
"11169",8,3
"11170",12,3
"11171",13,2
"11172",8,3
"11173",12,2
"11174",13,2
"11175",18,1
"11176",12,1
"11177",9,3
"11178",7,3
"11179",12,2
"11180",17,3
"11181",10,1
"11182",12,2
"11183",16,2
"11184",12,2
"11185",12,3
"11186",12,3
"11187",16,2
"11188",16,1
"11189",12,3
"11190",17,2
"11191",13,2
"11192",14,2
"11193",14,3
"11194",17,2
"11195",11,2
"11196",9,1
"11197",13,1
"11198",8,2
"11199",15,3
"11200",12,1
"11201",13,3
"11202",8,2
"11203",15,2
"11204",12,2
"11205",14,2
"11206",12,2
"11207",10,2
"11208",12,2
"11209",12,3
"11210",11,2
"11211",12,2
"11212",14,2
"11213",12,1
"11214",0,NA
"11215",8,NA
"11216",8,1
"11217",12,3
"11218",6,2
"11219",16,2
"11220",12,2
"11221",13,2
"11222",8,1
"11223",17,2
"11224",12,2
"11225",9,2
"11226",12,2
"11227",12,2
"11228",12,1
"11229",9,3
"11230",7,2
"11231",11,2
"11232",14,2
"11233",12,2
"11234",16,2
"11235",12,2
"11236",12,1
"11237",NA,2
"11238",7,2
"11239",12,2
"11240",11,2
"11241",12,2
"11242",6,3
"11243",20,2
"11244",11,2
"11245",12,2
"11246",7,3
"11247",12,1
"11248",12,2
"11249",12,3
"11250",12,2
"11251",12,2
"11252",4,3
"11253",12,2
"11254",12,2
"11255",10,1
"11256",4,2
"11257",9,2
"11258",12,2
"11259",12,2
"11260",11,1
"11261",12,1
"11262",8,2
"11263",18,3
"11264",12,3
"11265",12,2
"11266",17,1
"11267",12,3
"11268",8,2
"11269",11,2
"11270",10,2
"11271",10,2
"11272",12,2
"11273",8,3
"11274",10,2
"11275",9,2
"11276",12,2
"11277",12,1
"11278",9,3
"11279",11,2
"11280",6,3
"11281",12,2
"11282",10,2
"11283",12,2
"11284",13,2
"11285",16,2
"11286",2,2
"11287",14,2
"11288",15,3
"11289",10,3
"11290",9,2
"11291",8,1
"11292",12,2
"11293",13,2
"11294",9,3
"11295",8,2
"11296",8,NA
"11297",6,1
"11298",4,2
"11299",20,2
"11300",9,3
"11301",10,1
"11302",11,2
"11303",16,2
"11304",10,2
"11305",9,2
"11306",10,2
"11307",12,2
"11308",12,NA
"11309",11,3
"11310",11,1
"11311",12,2
"11312",12,2
"11313",11,2
"11314",13,1
"11315",8,1
"11316",10,2
"11317",12,1
"11318",12,3
"11319",11,1
"11320",12,1
"11321",6,2
"11322",12,2
"11323",12,2
"11324",5,NA
"11325",13,2
"11326",12,2
"11327",9,1
"11328",12,2
"11329",12,3
"11330",12,2
"11331",8,2
"11332",12,2
"11333",12,2
"11334",12,2
"11335",16,3
"11336",13,1
"11337",13,1
"11338",12,1
"11339",12,2
"11340",12,2
"11341",12,3
"11342",8,3
"11343",14,2
"11344",13,3
"11345",8,2
"11346",12,2
"11347",5,2
"11348",12,1
"11349",12,1
"11350",9,2
"11351",7,3
"11352",12,2
"11353",12,1
"11354",12,2
"11355",20,2
"11356",9,2
"11357",11,3
"11358",6,3
"11359",8,2
"11360",9,3
"11361",12,1
"11362",16,2
"11363",15,3
"11364",16,2
"11365",15,2
"11366",12,2
"11367",12,2
"11368",15,1
"11369",9,3
"11370",8,NA
"11371",5,1
"11372",12,2
"11373",17,2
"11374",8,2
"11375",3,2
"11376",11,3
"11377",4,NA
"11378",5,3
"11379",7,1
"11380",7,2
"11381",9,2
"11382",16,1
"11383",14,1
"11384",11,3
"11385",5,2
"11386",7,1
"11387",7,2
"11388",16,3
"11389",16,2
"11390",11,2
"11391",16,3
"11392",7,3
"11393",5,1
"11394",4,1
"11395",2,2
"11396",12,2
"11397",12,3
"11398",16,2
"11399",14,3
"11400",12,2
"11401",8,2
"11402",11,2
"11403",9,2
"11404",6,2
"11405",12,2
"11406",17,2
"11407",11,1
"11408",19,1
"11409",8,1
"11410",12,2
"11411",12,2
"11412",10,1
"11413",12,2
"11414",17,2
"11415",17,2
"11416",16,2
"11417",19,3
"11418",16,2
"11419",16,2
"11420",16,3
"11421",12,2
"11422",8,2
"11423",12,2
"11424",15,2
"11425",12,2
"11426",13,2
"11427",20,1
"11428",12,1
"11429",16,2
"11430",16,2
"11431",20,2
"11432",19,2
"11433",20,2
"11434",16,2
"11435",12,3
"11436",16,2
"11437",10,3
"11438",14,3
"11439",16,3
"11440",14,2
"11441",9,3
"11442",17,2
"11443",11,2
"11444",12,2
"11445",10,2
"11446",11,2
"11447",8,1
"11448",19,1
"11449",12,2
"11450",12,2
"11451",16,1
"11452",14,2
"11453",12,1
"11454",10,2
"11455",12,2
"11456",16,2
"11457",15,2
"11458",9,2
"11459",16,2
"11460",16,2
"11461",16,1
"11462",16,2
"11463",16,2
"11464",3,2
"11465",8,2
"11466",NA,NA
"11467",6,NA
"11468",12,2
"11469",11,2
"11470",12,2
"11471",12,2
"11472",12,2
"11473",15,2
"11474",12,2
"11475",9,2
"11476",11,3
"11477",9,2
"11478",7,3
"11479",14,2
"11480",5,NA
"11481",11,2
"11482",10,2
"11483",12,3
"11484",12,2
"11485",12,1
"11486",12,2
"11487",8,2
"11488",12,2
"11489",12,1
"11490",12,2
"11491",12,1
"11492",12,2
"11493",16,1
"11494",12,3
"11495",10,1
"11496",12,2
"11497",12,2
"11498",11,3
"11499",6,2
"11500",8,2
"11501",10,1
"11502",14,2
"11503",8,2
"11504",16,2
"11505",16,1
"11506",12,2
"11507",18,2
"11508",20,2
"11509",12,2
"11510",12,2
"11511",10,3
"11512",12,1
"11513",12,2
"11514",12,3
"11515",12,1
"11516",11,3
"11517",12,2
"11518",12,2
"11519",12,2
"11520",12,2
"11521",12,2
"11522",10,1
"11523",11,2
"11524",8,2
"11525",12,1
"11526",14,NA
"11527",7,2
"11528",12,1
"11529",12,3
"11530",17,2
"11531",9,3
"11532",16,3
"11533",12,2
"11534",12,2
"11535",7,2
"11536",18,2
"11537",13,2
"11538",16,2
"11539",12,2
"11540",12,3
"11541",12,2
"11542",12,2
"11543",15,3
"11544",15,3
"11545",12,2
"11546",16,2
"11547",18,2
"11548",9,1
"11549",5,2
"11550",12,1
"11551",13,2
"11552",13,1
"11553",12,2
"11554",11,2
"11555",13,1
"11556",12,1
"11557",8,3
"11558",16,3
"11559",14,2
"11560",12,1
"11561",16,2
"11562",16,2
"11563",11,1
"11564",10,3
"11565",12,3
"11566",15,1
"11567",14,2
"11568",19,1
"11569",12,1
"11570",8,1
"11571",13,2
"11572",14,NA
"11573",12,1
"11574",8,2
"11575",10,2
"11576",13,3
"11577",13,1
"11578",12,2
"11579",12,2
"11580",12,2
"11581",12,1
"11582",13,2
"11583",12,2
"11584",8,1
"11585",12,2
"11586",12,2
"11587",12,1
"11588",12,2
"11589",12,2
"11590",14,2
"11591",12,3
"11592",12,1
"11593",9,2
"11594",12,2
"11595",13,3
"11596",12,2
"11597",12,2
"11598",12,2
"11599",12,2
"11600",12,1
"11601",11,2
"11602",12,2
"11603",12,3
"11604",12,1
"11605",12,1
"11606",12,1
"11607",12,2
"11608",14,2
"11609",14,1
"11610",17,2
"11611",14,3
"11612",11,1
"11613",16,2
"11614",12,3
"11615",8,3
"11616",13,2
"11617",12,2
"11618",15,2
"11619",15,2
"11620",20,2
"11621",12,3
"11622",14,2
"11623",12,3
"11624",10,1
"11625",10,2
"11626",11,2
"11627",14,3
"11628",12,1
"11629",16,1
"11630",8,1
"11631",16,2
"11632",8,2
"11633",11,2
"11634",8,2
"11635",12,2
"11636",8,3
"11637",8,1
"11638",12,1
"11639",16,1
"11640",11,3
"11641",13,2
"11642",14,3
"11643",12,2
"11644",16,2
"11645",14,2
"11646",16,3
"11647",18,2
"11648",17,2
"11649",13,1
"11650",16,2
"11651",17,2
"11652",16,2
"11653",14,2
"11654",13,3
"11655",14,2
"11656",14,1
"11657",9,NA
"11658",7,1
"11659",6,1
"11660",17,3
"11661",12,1
"11662",7,3
"11663",11,2
"11664",12,1
"11665",7,3
"11666",16,1
"11667",16,3
"11668",16,1
"11669",12,1
"11670",12,2
"11671",6,3
"11672",12,2
"11673",8,3
"11674",7,2
"11675",16,2
"11676",16,1
"11677",9,NA
"11678",16,2
"11679",17,2
"11680",11,1
"11681",6,2
"11682",12,3
"11683",15,2
"11684",12,3
"11685",14,2
"11686",13,3
"11687",14,2
"11688",12,2
"11689",10,2
"11690",8,1
"11691",16,1
"11692",14,1
"11693",12,2
"11694",6,1
"11695",8,2
"11696",10,2
"11697",16,2
"11698",5,2
"11699",13,1
"11700",12,1
"11701",13,2
"11702",12,2
"11703",12,2
"11704",15,2
"11705",10,3
"11706",20,2
"11707",18,2
"11708",16,3
"11709",11,2
"11710",12,2
"11711",12,2
"11712",20,2
"11713",12,2
"11714",4,3
"11715",8,2
"11716",12,2
"11717",16,1
"11718",5,2
"11719",12,2
"11720",12,2
"11721",12,2
"11722",12,2
"11723",8,1
"11724",12,2
"11725",13,2
"11726",9,3
"11727",13,2
"11728",11,1
"11729",11,2
"11730",13,2
"11731",12,2
"11732",12,1
"11733",9,3
"11734",12,1
"11735",14,1
"11736",18,2
"11737",16,2
"11738",17,1
"11739",16,1
"11740",NA,2
"11741",15,2
"11742",15,1
"11743",13,2
"11744",16,3
"11745",12,2
"11746",18,2
"11747",16,2
"11748",17,2
"11749",13,1
"11750",14,3
"11751",17,2
"11752",14,2
"11753",10,2
"11754",16,3
"11755",12,3
"11756",5,2
"11757",4,NA
"11758",14,1
"11759",6,NA
"11760",11,2
"11761",8,2
"11762",11,2
"11763",9,1
"11764",13,1
"11765",17,1
"11766",12,2
"11767",9,NA
"11768",9,1
"11769",12,3
"11770",12,2
"11771",12,2
"11772",12,2
"11773",16,2
"11774",12,2
"11775",16,2
"11776",12,2
"11777",9,2
"11778",13,3
"11779",12,1
"11780",9,2
"11781",18,1
"11782",14,2
"11783",11,2
"11784",10,NA
"11785",13,2
"11786",13,2
"11787",13,2
"11788",16,1
"11789",14,2
"11790",9,2
"11791",16,2
"11792",2,2
"11793",10,2
"11794",12,3
"11795",17,2
"11796",12,1
"11797",12,2
"11798",8,2
"11799",16,2
"11800",8,3
"11801",12,2
"11802",7,3
"11803",9,1
"11804",12,1
"11805",16,1
"11806",14,2
"11807",16,2
"11808",10,2
"11809",12,2
"11810",12,2
"11811",10,3
"11812",12,1
"11813",16,2
"11814",12,2
"11815",15,2
"11816",12,2
"11817",14,1
"11818",18,2
"11819",12,2
"11820",13,2
"11821",13,2
"11822",16,2
"11823",10,2
"11824",12,2
"11825",12,2
"11826",12,2
"11827",12,2
"11828",12,2
"11829",15,3
"11830",18,3
"11831",13,3
"11832",12,2
"11833",10,2
"11834",12,1
"11835",13,2
"11836",16,1
"11837",16,2
"11838",13,2
"11839",17,2
"11840",14,1
"11841",14,3
"11842",18,2
"11843",18,2
"11844",13,2
"11845",8,1
"11846",13,2
"11847",16,2
"11848",14,1
"11849",14,2
